Team Number,Division
CCVI-0003,Mixed
CCVI-0004,Mixed
CCVI-0012,Mixed
CCVI-0013,All Male
CCVI-0018,Mixed
CCVI-0019,All Male
CCVI-0027,Mixed
CCVI-0029,All Male
CCVI-0033,All Female
CCVI-0034,All Male
CCVI-0037,All Male
CCVI-0038,All Male
CCVI-0041,All Male
CCVI-0042,Mixed
CCVI-0046,Mixed
CCVI-0047,Mixed
CCVI-0048,All Male
CCVI-0049,All Male
CCVI-0050,All Male
CCVI-0055,All Male
CCVI-0057,All Male
CCVI-0069,Mixed
CCVI-0070,Mixed
CCVI-0071,Mixed
CCVI-0072,Mixed
CCVI-0078,Cadet
CCVI-0081,All Male
CCVI-0082,Mixed
CCVI-0083,Mixed
CCVI-0089,All Male
CCVI-0090,All Male
CCVI-0094,All Male
CCVI-0096,Mixed
CCVI-0100,Mixed
CCVI-0101,Mixed
CCVI-0102,Cadet
CCVI-0105,All Male
CCVI-0106,Mixed
CCVI-0107,Mixed
CCVI-0108,All Male
CCVI-0117,All Male
CCVI-0119,All Male
CCVI-0120,All Male
CCVI-0121,All Male
CCVI-0122,All Male
CCVI-0130,Cadet
CCVI-0131,Cadet
CCVI-0132,Cadet
CCVI-0135,All Male
CCVI-0136,Mixed
CCVI-0145,All Male
CCVI-0146,All Male
CCVI-0147,All Male
CCVI-0148,Mixed
CCVI-0151,All Male
CCVI-0152,All Male
CCVI-0153,All Male
CCVI-0154,Mixed
CCVI-0156,Mixed
CCVI-0163,Mixed
CCVI-0164,Cadet
CCVI-0165,Cadet
CCVI-0166,Cadet
CCVI-0167,All Male
CCVI-0168,Mixed
CCVI-0171,Mixed
CCVI-0173,All Male
CCVI-0188,Cadet
CCVI-0189,Mixed
CCVI-0191,All Female
CCVI-0192,Mixed
CCVI-0193,Mixed
CCVI-0198,Mixed
CCVI-0203,Mixed
CCVI-0205,All Male
CCVI-0210,All Male
CCVI-0211,All Male
CCVI-0212,All Female
CCVI-0216,Mixed
CCVI-0221,Mixed
CCVI-0224,All Male
CCVI-0225,Mixed
CCVI-0226,Mixed
CCVI-0227,Mixed
CCVI-0232,All Female
CCVI-0233,Mixed
CCVI-0234,All Male
CCVI-0238,Mixed
CCVI-0243,Mixed
CCVI-0244,Mixed
CCVI-0246,Mixed
CCVI-0259,Cadet
CCVI-0261,Mixed
CCVI-0264,Mixed
CCVI-0265,All Male
CCVI-0266,Mixed
CCVI-0267,Mixed
CCVI-0268,All Male
CCVI-0269,Mixed
CCVI-0270,Mixed
CCVI-0276,Cadet
CCVI-0280,Mixed
CCVI-0281,All Male
CCVI-0284,Cadet
CCVI-0293,All Male
CCVI-0294,Mixed
CCVI-0295,All Male
CCVI-0298,Cadet
CCVI-0302,All Male
CCVI-0303,Mixed
CCVI-0307,All Male
CCVI-0309,All Male
CCVI-0310,Mixed
CCVI-0311,All Male
CCVI-0317,All Female
CCVI-0318,All Female
CCVI-0323,All Male
CCVI-0331,Mixed
CCVI-0333,Mixed
CCVI-0334,All Male
CCVI-0341,Cadet
CCVI-0342,All Male
CCVI-0343,Cadet
CCVI-0346,Mixed
CCVI-0348,All Female
CCVI-0349,Mixed
CCVI-0352,Mixed
CCVI-0354,Cadet
CCVI-0355,Mixed
CCVI-0356,All Male
CCVI-0358,All Male
CCVI-0359,All Male
CCVI-0362,All Male
CCVI-0364,Cadet
CCVI-0365,Cadet
CCVI-0366,All Male
CCVI-0367,Mixed
CCVI-0368,All Female
CCVI-0369,Cadet
CCVI-0371,Mixed
CCVI-0375,Mixed
CCVI-0380,Mixed
CCVI-0381,Mixed
CCVI-0383,All Male
CCVI-0384,Mixed
CCVI-0385,Mixed
CCVI-0388,All Male
CCVI-0390,All Male
CCVI-0391,All Male
CCVI-0393,All Female
CCVI-0394,Mixed
CCVI-0395,All Male
CCVI-0397,All Male
CCVI-0398,Mixed
CCVI-0402,All Male
CCVI-0403,All Female
CCVI-0407,Mixed
CCVI-0408,All Female
CCVI-0417,Cadet
CCVI-0432,All Male
CCVI-0433,All Male
CCVI-0434,All Male
CCVI-0436,Mixed
CCVI-0438,Mixed
CCVI-0439,Mixed
CCVI-0444,Mixed
CCVI-0449,All Male
CCVI-0450,Cadet
CCVI-0451,Cadet
CCVI-0452,All Male
CCVI-0465,All Male
CCVI-0470,All Male
CCVI-0471,All Male
CCVI-0472,Mixed
CCVI-0474,Mixed
CCVI-0475,All Male
CCVI-0477,All Male
CCVI-0600,All Male
