Team ID,Scored Images Category,Total CCS Score,Division
CCV-173,Junior,281.0,All Boys
CCV-083,Junior,270.0,All Girls
CCV-258,Junior,229.0,All Boys
CCV-159,Junior,224.0,Mixed Gender
CCV-288,Junior,212.0,All Boys
CCV-433,Junior,196.0,All Boys
CCV-134,Junior,178.0,All Boys
CCV-460,Junior,176.0,Mixed Gender
CCV-127,Junior,171.0,All Boys
CCV-334,Junior,165.0,All Boys
CCV-480,Junior,165.0,Mixed Gender
CCV-296,Junior,162.0,Mixed Gender
CCV-262,Junior,154.0,All Girls
CCV-444,Junior,154.0,Mixed Gender
CCV-149,Junior,147.0,All Boys
CCV-084,Junior,144.0,All Girls
CCV-449,Junior,144.0,All Boys
CCV-099,Junior,139.0,Cadets
CCV-457,Junior,139.0,All Boys
CCV-182,Junior,128.0,Cadets
CCV-101,Junior,124.0,All Girls
CCV-143,Junior,124.0,All Girls
CCV-297,Junior,124.0,All Boys
CCV-129,Junior,123.0,Mixed Gender
CCV-154,Junior,119.0,Mixed Gender
CCV-261,Junior,118.0,All Girls
CCV-190,Junior,113.0,All Girls
CCV-283,Junior,111.0,All Boys
CCV-142,Junior,100.0,None
CCV-198,Junior,100.0,None
CCV-260,Junior,100.0,All Girls
CCV-004,Junior,96.0,None
CCV-463,Junior,95.0,Mixed Gender
CCV-447,Junior,91.0,None
CCV-413,Junior,89.0,Mixed Gender
CCV-128,Junior,88.0,All Girls
CCV-174,Junior,88.0,All Girls
CCV-019,Junior,87.0,None
CCV-056,Junior,87.0,None
CCV-120,Junior,87.0,None
CCV-185,Junior,87.0,None
CCV-340,Junior,84.0,None
CCV-362,Junior,83.0,Cadets
CCV-097,Junior,79.0,None
CCV-254,Junior,73.0,None
CCV-477,Junior,71.0,None
CCV-495,Junior,70.0,None
CCV-325,Junior,69.0,All Boys
CCV-466,Junior,67.0,None
CCV-376,Junior,66.0,None
CCV-298,Junior,65.0,All Boys
CCV-308,Junior,62.0,None
CCV-264,Junior,60.0,None
CCV-075,Junior,57.0,None
CCV-214,Junior,57.0,All Boys
CCV-392,Junior,57.0,None
CCV-475,Junior,56.0,None
CCV-311,Junior,55.0,None
CCV-087,Junior,53.0,All Girls
CCV-355,Junior,53.0,None
CCV-402,Junior,53.0,None
CCV-365,Junior,46.0,None
CCV-448,Junior,45.0,None
CCV-506,Junior,45.0,None
CCV-403,Junior,43.0,None
CCV-465,Junior,39.0,None
CCV-401,Junior,35.0,All Boys
CCV-086,Junior,29.0,None
CCV-257,Junior,29.0,None
CCV-404,Junior,29.0,None
CCV-122,Junior,25.0,All Boys
CCV-125,Junior,23.0,None
CCV-138,Junior,16.0,None
CCV-194,Junior,16.0,None
CCV-464,Junior,16.0,Mixed Gender
CCV-436,Junior,13.0,None
CCV-030,Junior,8.0,None
CCV-090,Junior,0.0,All Boys
CCV-203,Junior,0.0,None
CCV-374,Junior,0.0,None
CCV-452,Junior,0.0,None
CCV-453,Junior,0.0,None
CCV-487,Junior,0.0,None
CCV-491,Junior,0.0,None
