Team Number,Scored Images,CCS Score
CCV-004,1,96
CCV-010,2,111
CCV-011,2,195
CCV-014,2,163
CCV-018,2,163
CCV-019,1,87
CCV-027,2,118
CCV-030,1,8
CCV-033,2,170
CCV-034,2,173
CCV-035,2,159
CCV-052,2,173
CCV-053,2,158
CCV-056,1,87
CCV-064,2,191
CCV-067,2,192
CCV-075,1,57
CCV-081,2,195
CCV-083,1,97
CCV-084,1,86
CCV-085,1,63
CCV-086,1,29
CCV-087,1,32
CCV-088,2,189
CCV-097,1,79
CCV-098,2,164
CCV-099,1,80
CCV-100,2,167
CCV-101,1,51
CCV-102,2,184
CCV-103,2,183
CCV-109,2,197
CCV-110,2,125
CCV-111,2,160
CCV-112,2,108
CCV-113,2,142
CCV-114,2,154
CCV-118,2,183
CCV-119,2,184
CCV-120,1,87
CCV-122,1,0
CCV-125,1,23
CCV-127,1,77
CCV-128,1,53
CCV-129,1,60
CCV-132,2,154
CCV-133,1,77
CCV-134,1,77
CCV-137,1,66
CCV-138,1,16
CCV-141,2,200
CCV-142,1,100
CCV-143,1,100
CCV-145,2,192
CCV-146,2,175
CCV-147,2,200
CCV-148,2,200
CCV-149,1,82
CCV-150,2,172
CCV-151,2,172
CCV-153,2,133
CCV-154,1,64
CCV-157,2,149
CCV-159,1,96
CCV-160,2,192
CCV-167,2,179
CCV-168,2,176
CCV-171,2,200
CCV-172,2,200
CCV-173,1,100
CCV-174,1,0
CCV-175,2,170
CCV-176,2,200
CCV-182,1,87
CCV-185,1,87
CCV-186,2,200
CCV-188,2,164
CCV-190,1,94
CCV-194,1,16
CCV-195,2,106
CCV-196,2,130
CCV-198,1,100
CCV-200,2,146
CCV-201,2,177
CCV-203,1,0
CCV-214,1,32
CCV-215,2,150
CCV-221,2,172
CCV-232,2,164
CCV-234,2,197
CCV-249,2,155
CCV-254,1,73
CCV-257,1,29
CCV-258,1,100
CCV-260,1,65
CCV-261,1,73
CCV-262,1,82
CCV-264,1,60
CCV-268,2,200
CCV-270,2,180
CCV-272,2,183
CCV-274,2,191
CCV-275,2,200
CCV-283,1,50
CCV-285,2,106
CCV-286,2,170
CCV-287,2,197
CCV-288,1,100
CCV-289,2,200
CCV-290,2,145
CCV-291,2,162
CCV-292,2,147
CCV-293,1,77
CCV-294,2,182
CCV-295,2,153
CCV-296,1,82
CCV-297,1,60
CCV-298,1,27
CCV-299,2,158
CCV-300,2,104
CCV-303,2,176
CCV-306,2,151
CCV-308,1,62
CCV-311,1,55
CCV-313,2,161
CCV-314,2,170
CCV-322,2,184
CCV-324,2,137
CCV-325,1,37
CCV-334,1,96
CCV-338,2,113
CCV-339,2,155
CCV-340,1,84
CCV-345,2,102
CCV-347,2,200
CCV-348,2,141
CCV-354,2,139
CCV-355,1,53
CCV-356,2,155
CCV-361,2,125
CCV-362,1,69
CCV-363,2,147
CCV-365,1,46
CCV-366,2,163
CCV-374,1,0
CCV-376,1,66
CCV-381,2,106
CCV-391,2,149
CCV-392,1,57
CCV-395,1,61
CCV-396,1,63
CCV-401,1,8
CCV-402,1,53
CCV-403,1,43
CCV-404,1,29
CCV-409,2,187
CCV-410,2,187
CCV-411,2,163
CCV-413,1,74
CCV-415,2,129
CCV-422,2,196
CCV-423,2,166
CCV-424,2,145
CCV-425,2,116
CCV-426,2,106
CCV-433,1,100
CCV-435,2,151
CCV-436,1,13
CCV-444,1,100
CCV-446,2,145
CCV-447,1,91
CCV-448,1,45
CCV-449,1,63
CCV-451,2,139
CCV-452,1,0
CCV-453,1,0
CCV-455,2,104
CCV-456,2,158
CCV-457,1,75
CCV-460,1,83
CCV-462,1,58
CCV-463,1,69
CCV-465,1,39
CCV-466,1,67
CCV-469,2,133
CCV-471,2,179
CCV-472,2,166
CCV-473,2,171
CCV-474,2,178
CCV-475,1,56
CCV-477,1,71
CCV-478,2,160
CCV-480,1,92
CCV-481,2,169
CCV-483,2,145
CCV-487,1,0
CCV-491,1,0
CCV-495,1,70
CCV-506,1,45
